Source,Title,Description,City,Venue,Address,Latitude,Longitude,Start DateTime,End DateTime,Category,Min Price,Max Price,Popularity,Ticket URL,Last Updated,Age Group,Accessibility,Event Format
TufaanTicket,Comedy Event 01c404d4,A thrilling comedy experience happening at Hollywood Bowl in Los Angeles.,Los Angeles,Hollywood Bowl,"2301 N Highland Ave, Los Angeles, CA",34.1125,-118.339,2025-06-11 16:00:00,2025-06-11 17:00:00,Comedy,90,277,0.7658623094047692,https://tufanticket.com/event/01c404d4,2025-03-22T03:04:56.616342,All Ages,Wheelchair Accessible,Online
TufaanTicket,Comedy Event be6a0ad6,A thrilling comedy experience happening at Hollywood Bowl in Los Angeles.,Los Angeles,Hollywood Bowl,"2301 N Highland Ave, Los Angeles, CA",34.1125,-118.339,2025-08-27 14:00:00,2025-08-27 15:00:00,Comedy,88,263,0.8249263623812261,https://tufanticket.com/event/be6a0ad6,2025-03-22T03:04:56.616399,21+,Not Specified,Online
TufaanTicket,Gaming Event 1f6b5774,A thrilling gaming experience happening at United Center in Chicago.,Chicago,United Center,"1901 W Madison St, Chicago, IL",41.8807,-87.6742,2025-02-11 14:00:00,2025-02-11 16:00:00,Gaming,58,235,0.9280539216163753,https://tufanticket.com/event/1f6b5774,2025-03-22T03:04:56.616440,18+,Not Specified,Hybrid
TufaanTicket,Technology Event 2bb09b17,A thrilling technology experience happening at United Center in Chicago.,Chicago,United Center,"1901 W Madison St, Chicago, IL",41.8807,-87.6742,2025-12-02 12:00:00,2025-12-02 17:00:00,Technology,73,245,0.14041328191839364,https://tufanticket.com/event/2bb09b17,2025-03-22T03:04:56.616483,18+,Not Specified,Hybrid
TufaanTicket,Food & Drink Event 55eb1b88,A thrilling food & drink experience happening at United Center in Chicago.,Chicago,United Center,"1901 W Madison St, Chicago, IL",41.8807,-87.6742,2025-07-01 15:00:00,2025-07-01 18:00:00,Food & Drink,86,166,0.13708574921261296,https://tufanticket.com/event/55eb1b88,2025-03-22T03:04:56.616516,21+,Hearing Assistance Available,Online
TufaanTicket,Comedy Event 9a9df8cf,A thrilling comedy experience happening at Hard Rock Stadium in Miami.,Miami,Hard Rock Stadium,"347 Don Shula Dr, Miami Gardens, FL",25.957,-80.2388,2025-08-10 20:00:00,2025-08-11 00:00:00,Comedy,66,143,0.034525657967535706,https://tufanticket.com/event/9a9df8cf,2025-03-22T03:04:56.616548,21+,Hearing Assistance Available,Hybrid
TufaanTicket,Networking Event b57a0d8e,A thrilling networking experience happening at Hollywood Bowl in Los Angeles.,Los Angeles,Hollywood Bowl,"2301 N Highland Ave, Los Angeles, CA",34.1125,-118.339,2025-02-10 22:00:00,2025-02-10 23:00:00,Networking,44,183,0.2475411603384884,https://tufanticket.com/event/b57a0d8e,2025-03-22T03:04:56.616572,21+,Hearing Assistance Available,Hybrid
TufaanTicket,Technology Event 8239b115,A thrilling technology experience happening at Hard Rock Stadium in Miami.,Miami,Hard Rock Stadium,"347 Don Shula Dr, Miami Gardens, FL",25.957,-80.2388,2025-12-17 22:00:00,2025-12-18 01:00:00,Technology,77,216,0.15349348415276376,https://tufanticket.com/event/8239b115,2025-03-22T03:04:56.616611,All Ages,Hearing Assistance Available,Online
TufaanTicket,Festival Event 363edfb5,A thrilling festival experience happening at Hard Rock Stadium in Miami.,Miami,Hard Rock Stadium,"347 Don Shula Dr, Miami Gardens, FL",25.957,-80.2388,2025-08-03 22:00:00,2025-08-03 23:00:00,Festival,32,163,0.8863915182174076,https://tufanticket.com/event/363edfb5,2025-03-22T03:04:56.616642,21+,Not Specified,Hybrid
TufaanTicket,Workshop Event 78a456a0,A thrilling workshop experience happening at United Center in Chicago.,Chicago,United Center,"1901 W Madison St, Chicago, IL",41.8807,-87.6742,2025-01-03 15:00:00,2025-01-03 18:00:00,Workshop,95,212,0.008859798662614882,https://tufanticket.com/event/78a456a0,2025-03-22T03:04:56.616687,All Ages,Hearing Assistance Available,Online
TufaanTicket,Comedy Event 0847a44f,A thrilling comedy experience happening at Hollywood Bowl in Los Angeles.,Los Angeles,Hollywood Bowl,"2301 N Highland Ave, Los Angeles, CA",34.1125,-118.339,2025-10-02 14:00:00,2025-10-02 18:00:00,Comedy,31,136,0.2694751942499106,https://tufanticket.com/event/0847a44f,2025-03-22T03:04:56.616713,18+,Not Specified,In-Person
